matchID,seriesID,Versus,Game_number,gametime,first_blood_time,isLastGame,playerID,playerName,teamID,teamName,position,heroID,heroName,is_crimson,is_cerulean,is_emerald,is_royal,is_golden,is_elemental,is_otherworld,is_heroic,kills,deaths,creep_score,gpm,madstone_collected,tower_kills,obs_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,teamfight_participation,stuns,firstblood_claimed,roshan_kills,tormentor_kills,tormentor_deaths,courier_kills,win,date
8955304019,1132161,BoomBoys vs TEAM VISION,1,4647,235,0,165564598,MieRo,8255888,BoomBoys,core,96,Centaur Warrunner,0,0,0,0,1,0,0,0,3,3,663,566,35,0,0,2,2,5,0,0.48387095,60.63235,0,0,1,0,1,0,20/08/2026
8955304019,1132161,BoomBoys vs TEAM VISION,1,4647,235,0,317880638,Save-,8255888,BoomBoys,support,119,Dark Willow,0,0,1,1,0,0,0,0,5,5,84,339,1,0,7,4,6,12,4,0.7741935,243.5336,0,1,0,0,0,0,20/08/2026
8955304019,1132161,BoomBoys vs TEAM VISION,1,4647,235,0,196878136,Kataomi`,8255888,BoomBoys,support,112,Winter Wyvern,0,1,0,0,0,1,0,0,3,7,107,314,0,0,26,2,2,8,9,0.5483871,21.458399,0,0,0,0,0,0,20/08/2026
8955304019,1132161,BoomBoys vs TEAM VISION,1,4647,235,0,1044002267,Satanic,9572001,TEAM VISION,core,80,Lone Druid,0,0,0,0,1,0,0,0,7,0,1397,958,28,7,0,9,17,0,0,0.48,123.533676,0,1,0,0,0,1,20/08/2026
8955304019,1132161,BoomBoys vs TEAM VISION,1,4647,235,0,195108598,Noticed,9572001,TEAM VISION,core,55,Dark Seer,0,0,0,1,0,0,0,0,2,6,1121,874,37,0,0,4,8,3,0,0.8,63.00014,1,1,0,0,0,1,20/08/2026
8955304019,1132161,BoomBoys vs TEAM VISION,1,4647,235,0,106573901,No[o]ne-,9572001,TEAM VISION,mid,128,Snapfire,1,0,0,0,0,0,0,0,12,3,922,829,33,0,2,2,16,10,0,0.76,52.367607,0,1,0,0,0,1,20/08/2026
8955304019,1132161,BoomBoys vs TEAM VISION,1,4647,235,0,164199202,9Class,9572001,TEAM VISION,support,62,Bounty Hunter,0,0,0,0,1,0,0,1,2,15,48,317,1,1,17,0,7,10,0,0.52,31.635029,0,1,0,0,5,1,20/08/2026
8955304019,1132161,BoomBoys vs TEAM VISION,1,4647,235,0,73401082,Dukalis,9572001,TEAM VISION,support,105,Techies,0,0,0,0,1,1,0,0,1,7,210,409,2,0,15,7,6,5,13,0.48,22.764824,0,0,0,0,1,1,20/08/2026
8955383956,1132161,TEAM VISION vs BoomBoys,2,3060,247,0,1044002267,Satanic,9572001,TEAM VISION,core,53,Nature's Prophet,0,0,1,0,0,0,0,1,4,4,972,891,26,2,0,1,6,2,0,0.6315789,0,0,1,1,0,0,0,20/08/2026
8955383956,1132161,TEAM VISION vs BoomBoys,2,3060,247,0,195108598,Noticed,9572001,TEAM VISION,core,28,Slardar,0,0,0,1,0,1,0,0,4,3,487,502,12,0,0,1,2,6,0,0.6315789,28.000212,0,0,0,0,0,0,20/08/2026
8955383956,1132161,TEAM VISION vs BoomBoys,2,3060,247,0,106573901,No[o]ne-,9572001,TEAM VISION,mid,13,Puck,0,1,0,0,0,0,0,0,6,4,508,547,12,2,2,3,11,2,0,0.6315789,9.166252,0,0,0,0,0,0,20/08/2026
8955383956,1132161,TEAM VISION vs BoomBoys,2,3060,247,0,164199202,9Class,9572001,TEAM VISION,support,14,Pudge,1,0,0,0,0,0,1,0,2,10,165,327,10,0,8,6,4,9,1,0.5263158,43.0327,0,0,0,0,1,0,20/08/2026
8955383956,1132161,TEAM VISION vs BoomBoys,2,3060,247,0,73401082,Dukalis,9572001,TEAM VISION,support,112,Winter Wyvern,0,1,0,0,0,1,0,0,2,6,56,290,1,0,13,0,0,3,7,0.68421054,19.248417,0,0,0,0,0,0,20/08/2026
8955383956,1132161,TEAM VISION vs BoomBoys,2,3060,247,0,172099728,Kiritych~,8255888,BoomBoys,core,19,Tiny,0,0,0,0,1,0,0,0,6,5,660,796,15,7,0,3,7,2,0,0.6666667,25.599154,0,1,0,0,2,1,20/08/2026
8955383956,1132161,TEAM VISION vs BoomBoys,2,3060,247,0,480412663,gpk~,8255888,BoomBoys,mid,106,Ember Spirit,1,0,0,0,0,1,1,0,10,1,640,801,19,0,2,8,15,0,0,0.9259259,63.932907,0,1,0,0,1,1,20/08/2026
8955383956,1132161,TEAM VISION vs BoomBoys,2,3060,247,0,165564598,MieRo,8255888,BoomBoys,core,155,Largo,0,0,1,0,1,0,0,0,7,2,385,588,17,0,0,4,2,4,0,0.7037037,17.064236,0,1,0,0,0,1,20/08/2026
8955383956,1132161,TEAM VISION vs BoomBoys,2,3060,247,0,317880638,Save-,8255888,BoomBoys,support,9,Mirana,0,1,0,0,0,0,0,0,2,4,134,383,5,0,7,1,2,11,4,0.5555556,46.367176,0,0,0,0,1,1,20/08/2026
8955383956,1132161,TEAM VISION vs BoomBoys,2,3060,247,0,196878136,Kataomi`,8255888,BoomBoys,support,85,Undying,0,0,1,0,0,0,1,0,2,7,57,334,1,0,15,4,3,8,5,0.44444445,0,0,0,0,0,2,1,20/08/2026
8955456108,1132161,BoomBoys vs TEAM VISION,3,1859,11,1,172099728,Kiritych~,8255888,BoomBoys,core,80,Lone Druid,0,0,0,0,1,0,0,0,1,6,279,449,9,0,0,4,3,1,0,0.25,21.300243,1,0,0,0,0,0,20/08/2026
8955456108,1132161,BoomBoys vs TEAM VISION,3,1859,11,1,480412663,gpk~,8255888,BoomBoys,mid,25,Lina,1,0,0,0,0,1,0,0,1,7,290,438,19,0,2,2,1,0,0,0.625,27.634726,0,0,0,0,0,0,20/08/2026
8955456108,1132161,BoomBoys vs TEAM VISION,3,1859,11,1,165564598,MieRo,8255888,BoomBoys,core,108,Underlord,0,0,1,0,0,0,1,0,4,5,271,491,9,0,0,2,1,1,0,0.875,96.13225,0,0,0,0,0,0,20/08/2026
8955456108,1132161,BoomBoys vs TEAM VISION,3,1859,11,1,317880638,Save-,8255888,BoomBoys,support,9,Mirana,0,1,0,0,0,0,0,0,2,5,36,227,1,0,3,4,2,5,3,1,54.93329,0,0,0,0,0,0,20/08/2026
8955456108,1132161,BoomBoys vs TEAM VISION,3,1859,11,1,196878136,Kataomi`,8255888,BoomBoys,support,3,Bane,0,0,0,1,0,0,0,0,0,9,29,198,0,0,9,1,1,3,1,0.75,53.400146,0,0,0,0,0,0,20/08/2026
8955456108,1132161,BoomBoys vs TEAM VISION,3,1859,11,1,1044002267,Satanic,9572001,TEAM VISION,core,53,Nature's Prophet,0,0,1,0,0,0,0,1,13,2,446,892,22,4,0,2,3,2,0,0.84375,0,0,1,0,0,0,1,20/08/2026
8955456108,1132161,BoomBoys vs TEAM VISION,3,1859,11,1,195108598,Noticed,9572001,TEAM VISION,core,28,Slardar,0,0,0,1,0,1,0,0,5,1,239,559,9,2,0,3,2,1,0,0.78125,30.031973,0,0,0,0,1,1,20/08/2026
8955456108,1132161,BoomBoys vs TEAM VISION,3,1859,11,1,106573901,No[o]ne-,9572001,TEAM VISION,mid,106,Ember Spirit,1,0,0,0,0,1,1,0,8,0,240,582,10,0,2,1,15,0,0,0.65625,53.698673,0,0,0,0,0,1,20/08/2026
8955456108,1132161,BoomBoys vs TEAM VISION,3,1859,11,1,164199202,9Class,9572001,TEAM VISION,support,62,Bounty Hunter,0,0,0,0,1,0,0,1,1,2,20,363,1,0,5,0,3,10,0,0.84375,21.499683,0,0,0,0,5,1,20/08/2026
8955456108,1132161,BoomBoys vs TEAM VISION,3,1859,11,1,73401082,Dukalis,9572001,TEAM VISION,support,112,Winter Wyvern,0,1,0,0,0,1,0,0,4,3,20,341,0,0,7,0,3,4,5,0.875,6.232521,0,0,0,0,1,1,20/08/2026
8955549026,1132178,Team Yandex vs Team Liquid,1,3268,209,0,171262902,医者watson`,9823272,Team Yandex,core,21,Windranger,0,0,1,0,0,0,0,1,18,4,603,776,18,6,0,4,7,3,0,0.8235294,65.233116,1,1,0,0,0,1,20/08/2026
8955549026,1132178,Team Yandex vs Team Liquid,1,3268,209,0,312436974,CHIRA_JUNIOR,9823272,Team Yandex,mid,91,Io,0,1,0,0,0,0,0,0,3,9,602,651,22,1,2,2,8,1,0,0.6764706,13.900085,0,1,0,0,0,1,20/08/2026
8955549026,1132178,Team Yandex vs Team Liquid,1,3268,209,0,56351509,DM,9823272,Team Yandex,core,155,Largo,0,0,1,0,1,0,0,0,2,6,372,497,6,0,0,1,5,4,0,0.5294118,8.797915,0,0,0,0,0,1,20/08/2026
8955549026,1132178,Team Yandex vs Team Liquid,1,3268,209,0,93817671,Maladych,9823272,Team Yandex,support,123,Hoodwink,0,0,1,0,0,0,0,0,4,11,144,384,1,0,13,2,2,7,7,0.8235294,34.999588,0,0,0,0,0,1,20/08/2026
8955549026,1132178,Team Yandex vs Team Liquid,1,3268,209,0,103735745,Saksa,9823272,Team Yandex,support,58,Enchantress,0,0,1,0,0,0,0,0,6,7,213,411,7,0,10,2,5,12,2,0.47058824,41.966663,0,0,0,0,2,1,20/08/2026
8955549026,1132178,Team Yandex vs Team Liquid,1,3268,209,0,16497807,tOfu,2163,Team Liquid,support,9,Mirana,0,1,0,0,0,0,0,0,7,7,252,474,8,1,11,3,4,8,1,0.8055556,93.64237,0,0,0,0,1,0,20/08/2026
8955549026,1132178,Team Yandex vs Team Liquid,1,3268,209,0,97590558,Ace ♠,2163,Team Liquid,core,135,Dawnbreaker,0,0,0,0,1,1,0,0,4,5,571,624,16,0,0,5,3,5,0,0.6944444,36.333183,0,0,0,0,0,0,20/08/2026
8955549026,1132178,Team Yandex vs Team Liquid,1,3268,209,0,201358612,Nisha,2163,Team Liquid,mid,53,Nature's Prophet,0,0,1,0,0,0,0,1,11,6,916,941,22,5,0,5,4,0,0,0.8888889,0,0,3,1,0,0,0,20/08/2026
8955549026,1132178,Team Yandex vs Team Liquid,1,3268,209,0,77490514,Boxi,2163,Team Liquid,support,100,Tusk,0,0,0,0,0,1,0,0,3,12,77,316,0,0,13,3,4,10,7,0.6666667,59.63478,0,0,0,0,0,0,20/08/2026
8955549026,1132178,Team Yandex vs Team Liquid,1,3268,209,0,152962063,m1CKe,2163,Team Liquid,core,19,Tiny,0,0,0,0,1,0,0,0,12,4,504,655,14,1,0,4,5,1,1,0.8888889,48.16713,0,0,1,0,0,0,20/08/2026
8955653541,1132178,Team Liquid vs Team Yandex,2,2308,419,0,16497807,tOfu,2163,Team Liquid,support,112,Winter Wyvern,0,1,0,0,0,1,0,0,1,9,29,231,1,0,6,3,1,2,3,0.53846157,15.566334,0,0,0,0,0,0,20/08/2026
8955653541,1132178,Team Liquid vs Team Yandex,2,2308,419,0,97590558,Ace ♠,2163,Team Liquid,core,55,Dark Seer,0,0,0,1,0,0,0,0,6,6,347,532,16,0,0,1,0,3,0,0.84615386,10.899146,0,0,0,0,0,0,20/08/2026
8955653541,1132178,Team Liquid vs Team Yandex,2,2308,419,0,201358612,Nisha,2163,Team Liquid,mid,21,Windranger,0,0,1,0,0,0,0,1,4,7,319,467,15,0,1,1,2,2,0,0.61538464,25.899757,0,0,0,0,0,0,20/08/2026
8955653541,1132178,Team Liquid vs Team Yandex,2,2308,419,0,77490514,Boxi,2163,Team Liquid,support,51,Clockwerk,1,0,0,0,0,0,0,1,2,8,29,233,1,0,11,7,1,4,1,0.84615386,63.464703,0,0,0,0,1,0,20/08/2026
8955653541,1132178,Team Liquid vs Team Yandex,2,2308,419,0,152962063,m1CKe,2163,Team Liquid,core,106,Ember Spirit,1,0,0,0,0,1,1,0,0,8,332,457,11,0,0,3,0,1,0,0.53846157,31.666353,0,0,0,0,0,0,20/08/2026
8955653541,1132178,Team Liquid vs Team Yandex,2,2308,419,0,171262902,医者watson`,9823272,Team Yandex,core,91,Io,0,1,0,0,0,0,0,0,14,1,569,905,34,4,0,7,6,1,0,0.8378378,0,0,1,0,0,0,1,20/08/2026
8955653541,1132178,Team Liquid vs Team Yandex,2,2308,419,0,312436974,CHIRA_JUNIOR,9823272,Team Yandex,mid,93,Slark,0,0,0,0,0,1,0,0,9,2,273,643,8,3,2,0,15,2,0,0.6216216,0,0,0,0,0,0,1,20/08/2026
8955653541,1132178,Team Liquid vs Team Yandex,2,2308,419,0,56351509,DM,9823272,Team Yandex,core,29,Tidehunter,0,0,1,0,0,1,0,0,7,0,354,693,12,2,0,1,5,7,0,0.6486486,54.467728,0,0,0,0,0,1,20/08/2026
8955653541,1132178,Team Liquid vs Team Yandex,2,2308,419,0,93817671,Maladych,9823272,Team Yandex,support,123,Hoodwink,0,0,1,0,0,0,0,0,4,3,88,415,0,1,4,4,5,6,4,0.5675676,31.999857,0,0,0,0,1,1,20/08/2026
8955653541,1132178,Team Liquid vs Team Yandex,2,2308,419,0,103735745,Saksa,9823272,Team Yandex,support,62,Bounty Hunter,0,0,0,0,1,0,0,1,3,7,26,433,0,0,11,1,7,5,2,0.6756757,30.29971,1,0,0,0,7,1,20/08/2026
8955796155,1132197,Team Falcons vs Nigma Galaxy ,1,2501,103,0,10366616,Sneyking,9247354,Team Falcons,support,9,Mirana,0,1,0,0,0,0,0,0,1,2,165,447,4,0,7,9,4,15,3,0.72,17.466873,0,0,0,0,1,1,20/08/2026
8955796155,1132197,Team Falcons vs Nigma Galaxy ,1,2501,103,0,100058342,skiter,9247354,Team Falcons,core,18,Sven,1,1,0,0,0,0,0,1,8,0,719,903,25,2,0,2,4,3,0,0.68,19.700499,0,2,0,0,1,1,20/08/2026
8955796155,1132197,Team Falcons vs Nigma Galaxy ,1,2501,103,0,898455820,Malr1ne,9247354,Team Falcons,mid,96,Centaur Warrunner,0,0,0,0,1,0,0,0,2,0,497,720,11,0,2,3,11,1,0,0.64,57.06842,0,0,0,0,1,1,20/08/2026
8955796155,1132197,Team Falcons vs Nigma Galaxy ,1,2501,103,0,183719386,AMMAR_THE_F,9247354,Team Falcons,core,59,Huskar,0,1,0,0,0,1,1,0,7,3,443,626,14,5,0,3,2,4,0,0.52,14.766787,0,0,0,0,0,1,20/08/2026
8955796155,1132197,Team Falcons vs Nigma Galaxy ,1,2501,103,0,25907144,Cr1t-,9247354,Team Falcons,support,79,Shadow Demon,1,0,0,0,0,0,1,1,6,3,89,392,2,1,10,10,3,5,2,0.8,32.766296,0,0,2,0,1,1,20/08/2026
8955796155,1132197,Team Falcons vs Nigma Galaxy ,1,2501,103,0,111620041,SumaiL-,10136357,Nigma Galaxy ,mid,54,Lifestealer,0,0,0,0,0,0,1,0,1,4,446,521,16,1,1,1,9,0,0,0.5,0,0,0,0,0,0,0,20/08/2026
8955796155,1132197,Team Falcons vs Nigma Galaxy ,1,2501,103,0,152168157,OmaR,10136357,Nigma Galaxy ,support,51,Clockwerk,1,0,0,0,0,0,0,1,1,8,32,239,1,0,10,5,4,11,3,0.875,44.065987,0,0,0,0,0,0,20/08/2026
8955796155,1132197,Team Falcons vs Nigma Galaxy ,1,2501,103,0,138880576,Davai,10136357,Nigma Galaxy ,core,55,Dark Seer,0,0,0,1,0,0,0,0,2,4,382,529,12,2,0,2,0,0,0,0.5,8.5997925,1,0,0,0,0,0,20/08/2026
8955796155,1132197,Team Falcons vs Nigma Galaxy ,1,2501,103,0,101356886,GH,10136357,Nigma Galaxy ,support,103,Elder Titan,0,0,0,0,1,0,0,0,0,5,59,235,5,0,9,2,2,5,3,0.75,87.63478,0,0,0,0,0,0,20/08/2026
8955796155,1132197,Team Falcons vs Nigma Galaxy ,1,2501,103,0,210053851,lorenof,10136357,Nigma Galaxy ,core,53,Nature's Prophet,0,0,1,0,0,0,0,1,4,4,587,674,26,0,0,2,0,0,0,0.75,0,0,0,0,0,0,0,20/08/2026
8955934230,1132197,Nigma Galaxy  vs Team Falcons,2,2408,86,0,111620041,SumaiL-,10136357,Nigma Galaxy ,core,21,Windranger,0,0,1,0,0,0,0,1,13,2,404,712,14,2,0,1,8,2,0,0.625,31.534012,0,1,0,0,0,1,20/08/2026
8955934230,1132197,Nigma Galaxy  vs Team Falcons,2,2408,86,0,152168157,OmaR,10136357,Nigma Galaxy ,support,62,Bounty Hunter,0,0,0,0,1,0,0,1,0,3,19,414,0,0,12,0,3,10,4,0.675,44.93307,0,0,0,0,1,1,20/08/2026
8955934230,1132197,Nigma Galaxy  vs Team Falcons,2,2408,86,0,138880576,Davai,10136357,Nigma Galaxy ,core,55,Dark Seer,0,0,0,1,0,0,0,0,4,1,375,692,15,0,0,2,5,3,0,0.725,34.666313,1,0,0,0,1,1,20/08/2026
8955934230,1132197,Nigma Galaxy  vs Team Falcons,2,2408,86,0,101356886,GH,10136357,Nigma Galaxy ,support,9,Mirana,0,1,0,0,0,0,0,0,9,1,134,524,4,0,7,2,6,10,2,0.65,42.667145,0,0,0,0,0,1,20/08/2026
8955934230,1132197,Nigma Galaxy  vs Team Falcons,2,2408,86,0,210053851,lorenof,10136357,Nigma Galaxy ,mid,53,Nature's Prophet,0,0,1,0,0,0,0,1,14,1,615,1014,23,7,1,6,5,0,0,0.775,0,0,1,1,0,0,1,20/08/2026
8955934230,1132197,Nigma Galaxy  vs Team Falcons,2,2408,86,0,10366616,Sneyking,9247354,Team Falcons,support,64,Jakiro,1,1,0,0,0,1,0,0,2,10,89,254,1,0,7,1,2,9,4,0.625,35.833008,0,0,0,0,1,0,20/08/2026
8955934230,1132197,Nigma Galaxy  vs Team Falcons,2,2408,86,0,100058342,skiter,9247354,Team Falcons,core,73,Alchemist,0,0,0,0,1,0,0,0,1,6,471,727,17,0,0,1,0,2,0,0.625,33.70033,0,0,0,0,0,0,20/08/2026
8955934230,1132197,Nigma Galaxy  vs Team Falcons,2,2408,86,0,898455820,Malr1ne,9247354,Team Falcons,mid,96,Centaur Warrunner,0,0,0,0,1,0,0,0,2,8,425,571,7,2,2,4,2,2,0,0.5,24.034184,0,0,0,0,1,0,20/08/2026
8955934230,1132197,Nigma Galaxy  vs Team Falcons,2,2408,86,0,183719386,AMMAR_THE_F,9247354,Team Falcons,core,36,Necrophos,0,0,1,0,0,0,1,0,2,7,466,563,22,0,0,5,2,4,0,0.5,4.5662594,0,0,0,0,1,0,20/08/2026
8955934230,1132197,Nigma Galaxy  vs Team Falcons,2,2408,86,0,25907144,Cr1t-,9247354,Team Falcons,support,51,Clockwerk,1,0,0,0,0,0,0,1,1,9,51,269,1,0,8,2,3,3,2,0.75,37.933628,0,0,0,0,2,0,20/08/2026
8956096810,1132197,Team Falcons vs Nigma Galaxy ,3,3598,321,1,10366616,Sneyking,9247354,Team Falcons,support,5,Crystal Maiden,0,1,0,0,0,1,0,1,4,6,291,385,9,0,16,4,3,17,6,0.5862069,112.099976,0,0,0,0,0,0,20/08/2026
8956096810,1132197,Team Falcons vs Nigma Galaxy ,3,3598,321,1,100058342,skiter,9247354,Team Falcons,core,19,Tiny,0,0,0,0,1,0,0,0,7,4,736,665,21,3,0,0,8,4,0,0.62068963,37.600246,0,0,1,0,0,0,20/08/2026
8956096810,1132197,Team Falcons vs Nigma Galaxy ,3,3598,321,1,898455820,Malr1ne,9247354,Team Falcons,mid,25,Lina,1,0,0,0,0,1,0,0,10,8,721,680,16,2,2,3,8,2,0,0.62068963,72.83818,0,1,1,0,0,0,20/08/2026
8956096810,1132197,Team Falcons vs Nigma Galaxy ,3,3598,321,1,183719386,AMMAR_THE_F,9247354,Team Falcons,core,69,Doom,1,0,0,0,0,1,1,0,7,7,538,668,12,1,0,6,2,8,0,0.62068963,13.068503,0,0,0,0,0,0,20/08/2026
8956096810,1132197,Team Falcons vs Nigma Galaxy ,3,3598,321,1,25907144,Cr1t-,9247354,Team Falcons,support,21,Windranger,0,0,1,0,0,0,0,1,1,7,162,335,0,1,10,6,6,10,3,0.5862069,51.299362,0,0,0,0,1,0,20/08/2026
8956096810,1132197,Team Falcons vs Nigma Galaxy ,3,3598,321,1,111620041,SumaiL-,10136357,Nigma Galaxy ,core,36,Necrophos,0,0,1,0,0,0,1,0,12,2,786,805,23,1,1,1,11,11,1,0.8125,25.599585,0,0,0,0,0,1,20/08/2026
8956096810,1132197,Team Falcons vs Nigma Galaxy ,3,3598,321,1,152168157,OmaR,10136357,Nigma Galaxy ,support,62,Bounty Hunter,0,0,0,0,1,0,0,1,3,11,20,393,0,0,20,1,7,11,5,0.90625,65.33268,0,0,0,0,0,1,20/08/2026
8956096810,1132197,Team Falcons vs Nigma Galaxy ,3,3598,321,1,138880576,Davai,10136357,Nigma Galaxy ,core,108,Underlord,0,0,1,0,0,0,1,0,6,5,466,587,12,2,0,3,1,0,0,0.65625,134.16393,0,0,0,0,0,1,20/08/2026
8956096810,1132197,Team Falcons vs Nigma Galaxy ,3,3598,321,1,101356886,GH,10136357,Nigma Galaxy ,support,9,Mirana,0,1,0,0,0,0,0,0,3,7,207,443,2,0,5,5,2,21,3,0.78125,64.26716,1,1,0,0,0,1,20/08/2026
8956096810,1132197,Team Falcons vs Nigma Galaxy ,3,3598,321,1,210053851,lorenof,10136357,Nigma Galaxy ,mid,35,Sniper,1,0,0,0,0,0,0,1,8,4,606,688,23,4,1,1,13,0,0,0.6875,1.0661864,0,2,0,0,0,1,20/08/2026
